f6e013f5-ed7d-4691-897f-04da0b2037d1	a4ba20f1-94c1-4da5-974f-72f3389af6f0	01cae6dd-3b93-4abd-9f17-5fbc6a82863e	1d949e2f-8bdb-48b7-bcf5-171c37d9ad66	91cf56c5-dc13-4142-bed9-b9c342aec504	529f3a3a-5ef3-495d-93af-4aa316b2cbf4	4c090804-bb5e-4935-a9bc-85daf08dab41	ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7	f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5	3fa1e12a-e500-4478-8714-1581df255bb4	1e626f8b-ce4e-4a6a-ae29-82e7ec86b8b8	54e030ee-294e-4eea-a177-0d3cbc65efd5	bfede8e1-e9fd-434f-9f74-7b1cd424edd7	3dfecd3b-2532-4ca8-ac85-63465dd3e03e	d2b9638a-8c15-4d1d-b5cd-3efeeeed0f2f	631e73ff-42b9-47ca-b2a0-8dcc7558af6c	6813c146-ca62-4ff7-9add-01d23ccbeff0	6d7cb714-e814-458b-82b4-f83edfe4e901	25419c44-26ba-4084-9e13-3303fca5bb1a	ba26be3f-c2d9-4103-96e6-eacc0ff75afd	265da01f-bce1-4735-8184-43f42ba5f34b	985f49c5-a0d2-428d-98f4-b458b0c2c0da	ae015e92-34c1-45a4-818e-c5bc6d1100c9	074be6f7-95e8-4874-a959-f6ea3c4f9a57	e66fe6d2-f209-46d6-bee7-ac23ba1dda5f	76c63789-765d-4413-a79f-a1762baa2627	1a5cec06-30f2-4b70-9da0-ddfe28efcaea	4509ee29-d50a-493e-94bf-ac283f46c0dc
9516.1775529561	3804.6308654738	9138.1412927114	4934.6354737502	5158.8921149789	2421.9939640202	7927.2106211705	4785.4658288227	5657.7328060876	5406.5294237744	3749.4282748913	6018.5996890065	6121.5192563466	5188.2147500729	10149.5952121041	8744.6763084367	6094.8312093816	6738.4096773718	7277.4837596566	8174.5101476661	2779.1386091194	4980.0586679396	4581.355088363	5485.4221148934	4101.204198024	5729.9976647915	1223.0547054198	5943.5912429252
9362.7293120016	4173.025962878	8149.7478078974	4539.6990281854	3302.2586639693	2515.3571489267	6264.5900418885	6795.7503074306	8591.5306496471	8356.3045784908	5876.8092969328	9227.9277940452	8888.6153187175	3767.959826644	6708.2378465239	6558.2043191735	5029.1286330783	7178.9055783534	7237.122499469	7664.0157767846	5647.6871115432	7710.9532221677	8199.2613647627	8070.4483988689	7579.900417103	8503.5649961854	3490.78190217	8712.9478367607
9302.5270949916	4067.674023956	8994.6803705977	5053.9769989491	5434.590933603	2671.0858580147	8064.9682303476	4760.9424256025	5502.8280821041	5476.6062959105	4036.5804661688	5783.0816533438	5710.1140773861	5480.6647511668	10139.5132456955	9113.3394618787	6382.2491620364	6759.5143480207	7187.0856463518	8185.8946884936	2968.4211878979	4754.6216486238	4702.0078417176	5602.4360123327	4368.8951983492	5796.9574097517	1360.4982798048	5883.1865994638
9292.1662980307	5505.9222750398	8731.0856031987	5810.632231201	6665.3231018408	5278.1376808099	9463.9487320858	5018.6382263742	6579.1766231107	6172.8116831139	4973.8545552758	6596.4307974019	6309.5945108838	6168.0342201362	8860.4740199964	10362.8432754233	5725.8592357183	7245.3898058815	7721.7833084014	8618.0584525226	3511.9689540925	5362.1354992222	5168.9922751297	6014.6921149943	6242.3458261644	6522.6861770444	3273.5216776697	6613.7255024533
9270.2981127575	6668.2481913543	11681.6216269763	5517.0652206091	7378.2543732567	5980.7804137584	9554.994078531	7541.6141778868	8451.0934171731	8016.8922589399	8773.5132295253	11325.5284058412	13399.662973494	8674.3408964131	16837.4712401461	13293.4061171224	11197.5241277614	7650.2134700591	8863.4083303201	11013.9215867909	5922.6976355888	7691.2409056873	6290.5457395865	8573.5014260697	7764.7501550444	7980.5477742217	6257.3942178418	10025.7171654456
9195.6595037571	6083.9412951824	11012.7206765138	4872.9092167268	6885.056355789	7203.7988785894	8128.1193117408	5843.5395682566	6029.2107647134	6008.5306599338	7784.5321913695	10176.2267840346	11446.8647311782	6746.2728270474	12836.7964754347	9678.4148934709	7693.6519906197	7021.1518124941	8271.3041220652	9705.2858433904	3546.3493869636	5916.1146864651	3509.4138132676	6555.7365550251	5426.9769972563	6104.5195215354	4535.7135477528	7770.2075256868
9126.7633010559	6921.9241318418	8628.517729793	5160.5693030901	6215.3726917764	6675.9488739472	6946.5132700722	6455.5710216459	5235.2264406551	6221.4737573303	7837.5038526977	8012.9984847067	7501.600181224	5051.9449585532	5631.8769676352	7344.0736565213	4475.6730993751	7403.6296705247	7842.078052418	8239.8471961146	5324.1446715105	6516.4112421872	6649.7913225059	7271.0119453327	7167.5184600058	6694.7300469743	5197.027554044	6401.2945806727
8562.2062109144	7714.1137561168	8455.32708521	5547.8603308784	7908.7733788889	8443.8121648604	8844.3645617607	6017.7864971742	6179.2119036267	6429.4360515403	8752.9981527315	8604.1185172279	8653.5870195553	7414.2475330481	9413.9328478068	10680.9046403429	9293.6797082374	5653.7105412583	6481.7021203813	7265.9799997612	6186.955222699	6732.4537739089	6952.7409051663	7408.7805133001	7780.9838593302	6698.0673042586	5962.2817511456	5961.6398080795
8447.6000616552	8588.2525404823	8928.5890356619	6573.5796848756	10038.5651883479	10824.856036522	10568.6094336256	8594.883699241	8734.9602673748	9303.0002070391	11451.8044057523	12348.5539696554	12260.5929965672	10670.798097387	11866.5407977581	15735.1913606496	12643.4646772902	6784.5431126504	7039.4620281027	8775.2499893851	6609.5356886941	9550.0498042685	9082.4756776219	9941.5870027505	9344.3312036734	9190.2082159088	8030.1783247153	8398.0587877281
8447.6000616552	8588.2525404823	8928.5890356619	6573.5796848756	10038.5651883479	10824.856036522	10568.6094336256	8594.883699241	8734.9602673748	9303.0002070391	11451.8044057523	12348.5539696554	12260.5929965672	10670.798097387	11866.5407977581	15735.1913606496	12643.4646772902	6784.5431126504	7039.4620281027	8775.2499893851	6609.5356886941	9550.0498042685	9082.4756776219	9941.5870027505	9344.3312036734	9190.2082159088	8030.1783247153	8398.0587877281
