feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.15721261107334555	-0.0790482208289689	0.08190842590700934	0.5916972945136703	0.8105696479701375	0.5916972945136703	0.81318932300172	NA	linear	28	28
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	sex	Male	sexMale	-0.24469942493301675	0.04578625111111673	0.5200733825859964	0.5951607536519528	0.812766404205948	0.8361051846163451	0.9695409283554649	NA	linear	28	10
PWY0-1477: ethanolamine utilization	sex	Male	sexMale	0.3810727842889057	0.04578625111111673	0.62147656206322055	0.5951075166281636	0.812766404205948	0.5951075166281636	0.81318932300172	NA	linear	28	28
METH-ACETATE-PWY: methanogenesis from acetate	sex	Male	sexMale	0.2659192890061288	0.04578625111111673	0.40900955411737705	0.597538868682399	0.8140064659461046	0.597538868682399	0.8138259438496477	NA	linear	28	28
PWY0-862: (5Z)-dodecenoate biosynthesis I	sex	Male	sexMale	0.2832914392294715	0.04578625111111673	0.43714544740002825	0.5979315230405025	0.8140064659461046	0.83834093983547	0.9695409283554649	NA	linear	28	16
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	donor_microbiome_type	WildR	donor_microbiome_typeWildR	0.05701218536058925	-0.0790482208289689	0.23437868391401806	0.6071148114553009	0.8186015232469336	0.6071148114553009	0.8178522312348082	NA	linear	28	28
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	sex	Male	sexMale	-0.2343795101446603	0.04578625111111673	0.5292067048929535	0.607564176564525	0.8186015232469336	0.8459941244845206	0.974533274539417	NA	linear	28	15
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.007547910441694942	-0.0790482208289689	0.07078437689452957	0.6078631448366818	0.8186015232469336	0.6078631448366818	0.8178522312348082	NA	linear	28	28
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	sex	Male	sexMale	-0.0641582096762339	0.04578625111111673	0.2035418716665417	0.6047668600018259	0.8186015232469336	0.6047668600018259	0.8178522312348082	NA	linear	28	28
PWY-7199: pyrimidine deoxyribonucleosides salvage	sex	Male	sexMale	-0.04515704007758635	0.04578625111111673	0.1666263144044146	0.6074403048159605	0.8186015232469336	0.6074403048159605	0.8178522312348082	NA	linear	28	28
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.1475289695759409	-0.0790482208289689	0.05528872992114364	0.6061961720688624	0.8186015232469336	0.6061961720688624	0.8178522312348082	NA	linear	28	28
PWY-5497: purine nucleobases degradation II (anaerobic)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.3495618543955804	-0.0790482208289689	0.512427868327815	0.6110616652799368	0.8192320338018751	0.230714401380396	0.471336783188171	NA	linear	28	25
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	sex	Male	sexMale	-0.06866753552202429	0.04578625111111673	0.21627752921652643	0.6111433478705064	0.8192320338018751	0.6111433478705064	0.8189566794401554	NA	linear	28	28
PWY-6607: guanosine nucleotides degradation I	sex	Male	sexMale	0.32981759786759884	0.04578625111111673	0.5483264681345977	0.6101447136195357	0.8192320338018751	0.6101447136195357	0.8189566794401554	NA	linear	28	28
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	sex	Male	sexMale	0.12686966793805485	0.04578625111111673	0.14983535308760176	0.6141786635087096	0.8207831068908444	0.6141786635087096	0.8213714656562261	NA	linear	28	28
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	sex	Male	sexMale	0.3432737797484839	0.04578625111111673	0.5893284482822267	0.6191420422017275	0.8248935135431552	0.6191420422017275	0.8263499000127266	NA	linear	28	28
PWY-2941: L-lysine biosynthesis II	sex	Male	sexMale	-0.057320322646075984	0.04578625111111673	0.20317573591378063	0.6267328792690037	0.830859753101183	0.6267328792690037	0.831606684883147	NA	linear	28	28
PWY-7111: pyruvate fermentation to isobutanol (engineered)	sex	Male	sexMale	-0.0901900100685069	0.04578625111111673	0.27359178479950663	0.6293239777494086	0.830859753101183	0.6293239777494086	0.831606684883147	NA	linear	28	28
PWY-7977: L-methionine biosynthesis IV	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.17380788174092118	-0.0790482208289689	0.15443278036072577	0.6287251563748517	0.830859753101183	0.6287251563748517	0.831606684883147	NA	linear	28	28
PWY-5686: UMP biosynthesis I	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.1380262650850896	-0.0790482208289689	0.028679530484013265	0.6348493709987011	0.8347967103040116	0.6348493709987011	0.8339769402052427	NA	linear	28	28
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.1398685390468427	-0.0790482208289689	0.0439745744579319	0.6361265549913864	0.8347967103040116	0.6361265549913864	0.8339769402052427	NA	linear	28	28
PWY-7790: UMP biosynthesis II	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.1380262650850896	-0.0790482208289689	0.028679530484013265	0.6351031488767009	0.8347967103040116	0.6351031488767009	0.8339769402052427	NA	linear	28	28
PWY-7791: UMP biosynthesis III	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.1380262650850896	-0.0790482208289689	0.028679530484013265	0.6352767118573184	0.8347967103040116	0.6352767118573184	0.8339769402052427	NA	linear	28	28
P122-PWY: heterolactic fermentation	sex	Male	sexMale	0.2404180290630236	0.04578625111111673	0.4040149887929692	0.6377407886996656	0.8356603438133549	0.8613121014724415	0.9772297437489711	NA	linear	28	21
CENTFERM-PWY: pyruvate fermentation to butanoate	sex	Male	sexMale	-0.062174583479329165	0.04578625111111673	0.22240134230863934	0.6404360853044231	0.8379358361617751	0.6404360853044231	0.8379772746812294	NA	linear	28	28
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	donor_microbiome_type	WildR	donor_microbiome_typeWildR	0.009115089738989885	-0.0790482208289689	0.14534250420233727	0.6427513723164044	0.838454775230653	0.6427513723164044	0.8393576744367164	NA	linear	28	28
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	sex	Male	sexMale	-0.29381177338140996	0.04578625111111673	0.7111930993800181	0.6419671061210881	0.838454775230653	0.7109622881274881	0.8917154122276969	NA	linear	28	15
PWY-8131: 5'-deoxyadenosine degradation II	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.3767171419794448	-0.0790482208289689	0.6309771499365484	0.6465643569745971	0.8396683736520145	0.19020865846572677	0.41758519887631523	NA	linear	28	24
